Close,Prev_Close,Daily_Gain_Rate,Last_Week_Close,Weekly_Gain_Rate,Last_Month_Close,Monthly_Gain_Rate,30days_Close,30days_Gain_Rate,90days_Close,90days_Gain_Rate,Name,Market,Marcap,Ticker,key_0,Last_Week_Close_Date,Last_Month_Close_Date,30days,90days
80800.0,79800.0,1.2531328320802004,78900.0,2.4081115335868186,73400.0,10.08174386920981,73200.0,10.382513661202186,78500.0,2.9299363057324843,삼성전자,KOSPI,482358430040000.0,005930,,,,,
178200.0,181200.0,-1.6556291390728477,169800.0,4.946996466431095,156200.0,14.084507042253522,158000.0,12.784810126582277,141500.0,25.936395759717314,SK하이닉스,KOSPI,129730021443000.0,000660,,,,,
401500.0,409000.0,-1.8337408312958436,413500.0,-2.902055622732769,401500.0,0.0,400500.0,0.24968789013732834,427500.0,-6.081871345029239,LG에너지솔루션,KOSPI,93951000000000.0,373220,,,,,
833000.0,836000.0,-0.3588516746411483,840000.0,-0.8333333333333334,774000.0,7.622739018087856,801000.0,3.9950062421972534,760000.0,9.605263157894736,삼성바이오로직스,KOSPI,59287942000000.0,207940,,,,,
67200.0,66800.0,0.5988023952095809,66700.0,0.7496251874062968,63600.0,5.660377358490567,61400.0,9.446254071661238,62300.0,7.865168539325842,삼성전자우,KOSPI,55297986240000.0,005935,,,,,
237000.0,244000.0,-2.8688524590163933,243500.0,-2.6694045174537986,250500.0,-5.389221556886228,248000.0,-4.435483870967742,203500.0,16.461916461916463,현대차,KOSPI,50132966922000.0,005380,,,,,
112000.0,113600.0,-1.4084507042253522,112900.0,-0.7971656333038087,124500.0,-10.040160642570282,117700.0,-4.842820730671198,100000.0,12.0,기아,KOSPI,45028950736000.0,000270,,,,,
183800.0,184200.0,-0.21715526601520088,188200.0,-2.3379383634431457,179700.0,2.2815804117974405,190000.0,-3.263157894736842,201500.0,-8.784119106699752,셀트리온,KOSPI,40077546255600.0,068270,,,,,
421000.0,428000.0,-1.6355140186915886,428500.0,-1.7502917152858808,431500.0,-2.4333719582850524,437500.0,-3.7714285714285714,499500.0,-15.715715715715717,POSCO홀딩스,KOSPI,35604487830000.0,005490,,,,,
477500.0,480500.0,-0.6243496357960457,472500.0,1.0582010582010581,377000.0,26.657824933687003,381500.0,25.16382699868938,472000.0,1.1652542372881356,삼성SDI,KOSPI,32835063075000.0,006400,,,,,
440000.0,444000.0,-0.9009009009009009,449500.0,-2.1134593993325916,453000.0,-2.869757174392936,464500.0,-5.27448869752422,499000.0,-11.823647294589177,LG화학,KOSPI,31060630920000.0,051910,,,,,
187100.0,189300.0,-1.162176439513999,188900.0,-0.9528851244044468,195000.0,-4.051282051282051,204000.0,-8.284313725490195,224000.0,-16.473214285714285,NAVER,KOSPI,30386647937400.0,035420,,,,,
160100.0,157700.0,1.5218769816106532,160000.0,0.0625,156700.0,2.169751116783663,155700.0,2.825947334617855,129500.0,23.62934362934363,삼성물산,KOSPI,29713226367000.0,028260,,,,,
70300.0,69000.0,1.884057971014493,74900.0,-6.141522029372497,63500.0,10.708661417322835,62300.0,12.841091492776885,54100.0,29.944547134935306,KB금융,KOSPI,28366828361600.0,105560,,,,,
261500.0,264500.0,-1.1342155009451798,262000.0,-0.19083969465648853,242500.0,7.835051546391752,242000.0,8.057851239669422,237000.0,10.337552742616033,현대모비스,KOSPI,24490807081000.0,012330,,,,,
54400.0,54800.0,-0.7299270072992701,53600.0,1.4925373134328357,53300.0,2.0637898686679175,55600.0,-2.158273381294964,54300.0,0.1841620626151013,카카오,KOSPI,24216342240000.0,035720,,,,,
47200.0,47000.0,0.425531914893617,50600.0,-6.719367588932807,43550.0,8.381171067738231,42900.0,10.023310023310025,40150.0,17.559153175591533,신한지주,KOSPI,24202247031200.0,055550,,,,,
302500.0,312000.0,-3.0448717948717947,318500.0,-5.023547880690738,317000.0,-4.574132492113565,313000.0,-3.3546325878594248,359000.0,-15.73816155988858,포스코퓨처엠,KOSPI,23432624050000.0,003670,,,,,
95500.0,94100.0,1.487778958554729,97900.0,-2.4514811031664965,96900.0,-1.4447884416924663,102900.0,-7.191448007774539,69100.0,38.205499276411,삼성생명,KOSPI,19100000000000.0,032830,,,,,
58900.0,58900.0,0.0,64000.0,-7.968749999999999,56600.0,4.063604240282685,55600.0,5.935251798561151,43400.0,35.714285714285715,하나금융지주,KOSPI,17219803622200.0,086790,,,,,
81700.0,80200.0,1.8703241895261846,84200.0,-2.9691211401425175,83100.0,-1.684717208182912,84200.0,-2.9691211401425175,59100.0,38.24027072758037,메리츠금융지주,KOSPI,16615501713800.0,138040,,,,,
96800.0,97000.0,-0.2061855670103093,99400.0,-2.61569416498994,94900.0,2.0021074815595363,95300.0,1.5739769150052465,101800.0,-4.911591355599214,LG전자,KOSPI,15841108395200.0,066570,,,,,
309000.0,307000.0,0.6514657980456027,335000.0,-7.761194029850746,298000.0,3.691275167785235,291000.0,6.185567010309279,263000.0,17.490494296577946,삼성화재,KOSPI,14638824633000.0,000810,,,,,
22100.0,22150.0,-0.2257336343115124,22800.0,-3.070175438596491,24800.0,-10.887096774193548,24500.0,-9.795918367346939,18900.0,16.93121693121693,한국전력,KOSPI,14187406101700.0,015760,,,,,
87600.0,89200.0,-1.7937219730941705,90400.0,-3.0973451327433628,93700.0,-6.510138740661686,94700.0,-7.497360084477296,85900.0,1.979045401629802,LG,KOSPI,13779566986800.0,003550,,,,,
