접수번호,법인구분,고유번호,회사명,이사회결의일(결정일),사외이사 참석여부(참석),사외이사 참석여부(불참),감사(감사위원)참석 여부,신주의 종류와 수(보통주식),신주의 종류와 수(기타주식),1주당 액면가액,증자전 발행주식총수(보통주식),증자전 발행주식총수(기타주식),신주배정기준일,1주당 신주배정 주식수(보통주식),1주당 신주배정 주식수(기타주식),신주의 배당기산일,신주권교부예정일,신주의 상장 예정일,#N/A
rcept_no,corp_cls,corp_code,corp_name,bddd,od_a_at_t,od_a_at_b,adt_a_atn,nstk_ostk_cnt,nstk_estk_cnt,fv_ps,bfic_tisstk_ostk,bfic_tisstk_estk,nstk_asstd,nstk_ascnt_ps_ostk,nstk_ascnt_ps_estk,nstk_dividrk,nstk_dlprd,nstk_lstprd,회사명
2.02002E+13,K,1012066,HK이노엔,2020년 02월 06일,-,-,참석,"218,892",-,"5,000","2,000,000",-,2020년 02월 21일,0.109446,-,2020년 01월 01일,-,-,HK이노엔
2.01507E+13,K,974927,NEW,2015년 07월 08일,1,1,참석,"13,703,053",-,500,"13,703,053",-,2015년 07월 24일,1,-,2015년 01월 01일,2015년 08월 17일,2015년 08월 18일,NEW
2.01907E+13,K,963976,SG,2019년 07월 22일,3,0,참석,"23,502,766",-,100,"12,506,024",-,2019년 08월 08일,2,-,2019년 01월 01일,2019년 08월 28일,2019년 08월 29일,SG
2.02104E+13,K,778235,TS인베스트먼트,2021년 03월 29일,1,-,참석,"12,854,069",-,500,"25,708,138",-,2021년 04월 13일,0.5,-,2021년 01월 01일,-,2021년 04월 30일,TS인베스트먼트
2.02106E+13,K,416414,넥스턴바이오,2021년 06월 04일,2,-,불참,"21,374,344",-,500,"11,846,520",-,2021년 06월 21일,2,-,2021년 01월 01일,-,2021년 07월 09일,넥스턴바이오
2.01801E+13,K,820389,뉴지랩파마,2018년 01월 24일,1,-,참석,"7,277,704",-,500,"7,277,704",-,2018년 01월 25일,1,-,2018년 01월 01일,2018년 02월 13일,2018년 02월 14일,뉴지랩파마
2.01704E+13,K,111874,대원산업,2017년 02월 23일,1,-,참석,"1,821,600",-,500,"18,216,000",-,2017년 03월 20일,0.1,-,2017년 01월 01일,2017년 04월 11일,2017년 04월 12일,대원산업
2.01611E+13,K,530413,더코디,2016년 11월 08일,1,2,불참,"45,009,760",-,100,"22,504,880",-,2016년 11월 29일,2,-,2016년 01월 01일,2016년 12월 27일,2016년 12월 28일,더코디
2.02108E+13,K,1137903,디케이티,2021년 08월 03일,3,-,참석,"8,231,333",-,500,"8,231,333",-,2021년 08월 18일,1,-,2021년 01월 01일,-,2021년 09월 08일,디케이티
2.01509E+13,K,654272,램테크놀러지,2015년 09월 03일,-,-,참석,"2,626,838",-,500,"8,756,128",-,2015년 10월 08일,0.3,-,2015년 01월 01일,2015년 10월 30일,2015년 11월 02일,램테크놀러지
2.02004E+13,K,1336373,메드팩토,2020년 04월 29일,1,1,참석,"10,157,421",-,500,"10,157,421",-,2020년 05월 14일,1,-,2020년 01월 01일,-,2020년 06월 02일,메드팩토
2.02211E+13,K,356839,메디콕스,2022년 10월 20일,2,3,불참,"12,770,137",-,500,"12,777,192",-,2022년 11월 17일,1,-,2022년 01월 01일,-,2022년 12월 09일,메디콕스
2.01706E+13,K,456218,모두투어,2017년 06월 02일,2,0,참석,"6,300,000",-,500,"12,600,000",-,2017년 06월 22일,0.5294815,-,2017년 01월 01일,2017년 07월 17일,2017년 07월 18일,모두투어
2.01802E+13,K,498001,모베이스,2018년 02월 28일,1,1,참석,"3,965,732",-,500,"19,992,456",-,2018년 03월 19일,0.2,-,2018년 01월 01일,2018년 04월 17일,2018년 04월 18일,모베이스
2.01502E+13,K,498001,모베이스,2015년 02월 10일,1,1,불참,"2,160,000",-,500,"10,800,000",-,2015년 02월 25일,0.2007728,-,2015년 01월 01일,2015년 03월 16일,2015년 03월 17일,모베이스
2.01701E+13,K,498001,모베이스,2017년 01월 16일,1,1,참석,"4,440,456",-,500,"15,552,000",-,2017년 02월 27일,0.286,-,2017년 01월 01일,2017년 03월 17일,2017년 03월 20일,모베이스
